1, -0.519197, 0.157854, 0.589496
2, -0.516297, 0.158428, 15.189568
3, -0.519104, 0.159395, 30.132648
4, -0.518268, 0.158739, 45.665688
5, -0.517133, 0.157265, 60.300552
6, -0.514863, 0.154243, 75.408951
7, -0.524305, 0.155726, 90.187775
8, -0.519698, 0.153409, 105.293114
9, -0.522491, 0.154543, 120.333069
10, -0.527883, 0.156679, 135.501010
11, -0.520593, 0.154435, 150.721463
12, -0.513307, 0.153075, 165.047025
13, -0.512121, 0.152368, 180.539435
14, -0.511319, 0.152023, 195.262692
15, -0.512237, 0.152937, 209.756183
16, -0.518152, 0.155733, 225.472900
17, -0.515848, 0.157421, 240.353610
18, -0.518458, 0.159831, 255.910724
19, -0.514697, 0.158987, 270.439758
20, -0.512953, 0.158423, 285.095367
21, -0.517638, 0.158343, 299.794800
22, -0.524310, 0.159483, 315.976410
23, -0.518811, 0.157268, 330.243225
24, -0.523092, 0.157978, 345.968109
1500, -0.522673, 0.157570, 0.524092
