6413, 0, 0.07
6433, 0, -0.05
6453, 0, 0.07
6473, 0, 0.00
6493, 0, 0.07
6513, 0, -0.04
6533, 0, -0.05
6553, 0, 0.00
6573, 0, 0.00
6593, 0, -0.05
6613, 0, -0.14
6633, 0, 0.01
6653, 0, -0.04
6673, 0, -0.13
6693, 0, 0.00
6713, 0, 0.08
6733, 0, -0.08
6753, 0, 0.00
6773, 0, -0.02
6793, 0, 0.00
6813, 0, 0.07
6833, 0, 0.00
6853, 0, 0.00
6873, 0, -0.06
6893, 0, 0.00
6913, 0, 0.00
6933, 0, -0.07
6953, 0, 0.00
6973, 0, 0.07
6993, 0, -0.04
7013, 0, 0.00
7033, 0, -0.05
7053, 0, -0.09
7073, 0, 0.11
7093, 0, 0.00
7113, 0, -0.01
7133, 0, 0.00
7153, 0, -0.02
7173, 0, 0.00
7193, 0, -0.04
7213, 0, -0.02
7233, 0, 0.06
7253, 0, 0.06
7273, 0, 0.11
7293, 0, -0.04
7313, 0, 0.00
7333, 0, -0.00
7353, 0, 0.07
7373, 0, 0.11
7393, 0, -0.03
7413, 5, -0.00
7433, 5, 0.00
7453, 5, 0.00
7473, 5, 0.00
7493, 5, 0.11
7513, 5, 0.21
7533, 5, 0.19
7553, 5, 0.21
7573, 5, 0.28
7593, 5, 0.30
7613, 5, 0.21
7633, 5, 0.20
7653, 5, 0.35
7673, 5, 0.34
7693, 5, 0.35
7713, 5, 0.50
7733, 5, 0.43
7753, 5, 0.40
7773, 5, 0.42
7793, 5, 0.35
7813, 5, 0.33
7833, 5, 0.32
7853, 5, 0.36
7873, 5, 0.44
7893, 5, 0.36
7913, 5, 0.43
7933, 5, 0.42
7953, 5, 0.41
7973, 5, 0.36
7993, 5, 0.46
8013, 5, 0.40
8033, 5, 0.39
8053, 5, 0.38
8073, 5, 0.29
8093, 5, 0.47
8113, 5, 0.39
8133, 5, 0.43
8153, 5, 0.38
8173, 5, 0.33
8193, 5, 0.40
8213, 5, 0.37
8233, 5, 0.37
8253, 5, 0.36
8273, 5, 0.41
8293, 5, 0.38
8313, 5, 0.45
8333, 5, 0.49
8353, 5, 0.49
8373, 5, 0.40
8393, 5, 0.54
8413, 0, 0.53
8433, 0, 0.50
8453, 0, 0.24
8473, 0, 0.00
8493, 0, 0.00
8513, 0, 0.00
8533, 0, 0.10
8553, 0, 0.00
8573, 0, -0.02
8593, 0, -0.05
8613, 0, -0.04
8633, 0, 0.10
8653, 0, 0.00
8673, 0, -0.08
8693, 0, 0.00
8713, 0, -0.04
8733, 0, -0.01
8753, 0, 0.06
8773, 0, 0.00
8793, 0, -0.02
8813, 0, 0.00
8833, 0, 0.00
8853, 0, 0.00
8873, 0, 0.00
8893, 0, -0.08
8913, 0, 0.07
8933, 0, 0.08
8953, 0, 0.08
8973, 0, -0.09
8993, 0, 0.00
9013, 0, 0.01
9033, 0, 0.12
9053, 0, 0.00
9073, 0, 0.00
9093, 0, 0.00
9113, 0, 0.09
9133, 0, -0.05
9153, 0, -0.11
9173, 0, 0.07
9193, 0, -0.04
9213, 0, 0.00
9233, 0, -0.02
9253, 0, -0.03
9273, 0, 0.09
9293, 0, 0.10
9313, 0, -0.01
9333, 0, 0.00
9353, 0, 0.08
9373, 0, 0.11
9393, 0, 0.11
9413, 10, -0.00
9433, 10, -0.03
9453, 10, 0.06
9473, 10, 0.31
9493, 10, 0.57
9513, 10, 0.72
9533, 10, 1.02
9553, 10, 0.99
9573, 10, 1.18
9593, 10, 1.29
9613, 10, 1.53
9633, 10, 1.40
9653, 10, 1.42
9673, 10, 1.47
9693, 10, 1.51
9713, 10, 1.64
9733, 10, 1.62
9753, 10, 1.56
9773, 10, 1.51
9793, 10, 1.60
9813, 10, 1.61
9833, 10, 1.66
9853, 10, 1.65
9873, 10, 1.69
